area,habitaciones,banos,garaje,calidad,zona,tipo,anio,precio
212,3,4,0,Mala,Marina Mazatlan,Departamento,2011,12485900
247,4,3,2,Lujo,Cerritos,Departamento,2021,12642202
115,3,3,1,Buena,Villas del Rey,Departamento,2020,4197386
127,3,2,1,Lujo,Pradera Dorada,Departamento,2003,3723417
98,2,2,1,Buena,Zona Dorada,Casa,2021,7084345
291,6,3,2,Mala,Marina Mazatlan,Casa,2007,15156763
357,5,5,3,Buena,Pradera Dorada,Casa,2003,9528473
101,2,2,0,Excelente,Marina Mazatlan,Departamento,2006,9716169
292,6,5,2,Lujo,Pradera Dorada,Departamento,2008,9003795
184,4,4,1,Buena,Cerritos,Casa,2013,7023447
101,2,1,2,Buena,Marina Mazatlan,Departamento,2022,9302691
288,5,3,2,Excelente,Marina Mazatlan,Casa,2013,22829928
67,1,2,2,Excelente,Marina Mazatlan,Departamento,2009,5455029
228,3,3,2,Buena,Zona Dorada,Casa,2003,14805458
97,3,4,1,Buena,Pradera Dorada,Casa,2006,3074379
342,5,4,3,Excelente,Marina Mazatlan,Casa,2022,28793357
269,4,2,1,Mala,Villas del Rey,Departamento,2011,4671687
399,5,3,3,Buena,Cerritos,Casa,1993,12759722
197,3,4,1,Regular,Cerritos,Casa,2017,8023053
227,4,4,1,Excelente,Cerritos,Departamento,2019,11688115
112,2,1,1,Buena,Centro,Casa,2010,3174164
317,5,3,4,Buena,Centro,Casa,2016,10403984
388,4,2,3,Lujo,Pradera Dorada,Casa,2005,9285036
126,2,2,1,Mala,Cerritos,Departamento,2000,3744140
133,3,3,2,Lujo,Centro,Casa,1997,4904259
434,4,3,2,Buena,Marina Mazatlan,Casa,2001,20915566
170,4,4,1,Excelente,Centro,Casa,2026,7245678
111,3,3,1,Regular,Cerritos,Casa,2014,5745605
160,4,4,0,Lujo,Zona Dorada,Departamento,2009,18534042
74,2,1,0,Excelente,Centro,Departamento,1994,2217726
340,4,3,4,Excelente,Zona Dorada,Casa,2022,30539990
142,3,4,2,Buena,Cerritos,Departamento,1999,6449159
102,3,3,0,Buena,Zona Dorada,Departamento,2011,8719086
172,3,3,1,Lujo,Marina Mazatlan,Departamento,2026,18446580
102,3,4,1,Regular,Pradera Dorada,Departamento,2001,2568128
67,1,1,1,Excelente,Pradera Dorada,Casa,2020,2026649
56,1,1,1,Buena,Marina Mazatlan,Departamento,2002,4263539
106,2,1,0,Excelente,Villas del Rey,Casa,2012,2223977
75,2,2,0,Mala,Zona Dorada,Departamento,2026,6394217
241,3,3,2,Excelente,Zona Dorada,Departamento,2025,27036148
439,6,3,2,Mala,Centro,Casa,2019,11716896
389,5,4,4,Lujo,Zona Dorada,Casa,1993,26789668
234,3,2,2,Regular,Villas del Rey,Casa,1997,3906905
257,4,2,2,Excelente,Zona Dorada,Departamento,1996,17055061
101,2,1,1,Mala,Villas del Rey,Casa,2020,2264239
